name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Biriyani spot Varangode Malappuram,"varankode, Varankode, Malappuram, Kerala 676519",090612 06088,"https://www.google.com/maps/place/Biriyani+spot+Varangode+Malappuram/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64a837c434a1b:0x29acac56f5ef5c70!8m2!3d11.0537429!4d76.079988!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgEUZmFzdF9mb29kX3Jlc3RhdXJhbnSqAVMKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiG3meuuuOosh1EvGdKBibw3c2DGqB2-Zal4fi3DIWEAIiEmJpcnlhbmkgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11ggklqhpk?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",,Fast food restaurant,Specialty_Food,4.1,118.0,₹₹,Opens 12pm,⋅ Opens 12pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:27:37
THE Samco,"Market Rd, Down Hill, Malappuram, Kerala 676519",0483 273 4666,"https://www.google.com/maps/place/THE+Samco/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64a90a43c2993:0x14c4d66e4d5789e0!8m2!3d11.0463933!4d76.0736307!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgERa2VyYWxhX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTndPRFZZY1hoQlJSQUKqAVMKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiG3meuuuOosh1EvGdKBibw3c2DGqB2-Zal4fi3DIWEAIiEmJpcnlhbmkgbWFsYXBwdXJhbeABAPoBBAgAEEQ!16s%2Fg%2F11dxd52psj?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",Place an order,Kerala restaurant,Specialty_Food,4.2,1018.0,₹₹,Opens 8am,⋅ Opens 8am,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Kerbside pickup
·

Delivery
",delivery; dine-in; kerbside pickup,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:27:42
Hotel Delicia,"Bus Stand Rd, near Municipality, Down Hill, Malappuram, Kerala 676505",085930 00015,"https://www.google.com/maps/place/Hotel+Delicia/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64a99970f9e53:0x36616a8bece879f4!8m2!3d11.0444735!4d76.0759711!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgEXc291dGhfaW5kaWFuX3Jlc3RhdXJhbnSqAVMKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiG3meuuuOosh1EvGdKBibw3c2DGqB2-Zal4fi3DIWEAIiEmJpcnlhbmkgbWFsYXBwdXJhbeABAA!16s%2Fg%2F1q5bmk4h1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",deliciahotel.com,South Indian restaurant,Specialty_Food,4.4,6220.0,₹₹,Opens 8:30am,⋅ Opens 8:30am,No,No,Yes,Yes,No,No,Unknown,Yes,"Multi-cuisine restaurant with a clean, contemporary dining room as well as catering services.",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:27:47
Tandoor Hut Restaurant,"oppsosite indian oil petrol pump, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",097470 77984,"https://www.google.com/maps/place/Tandoor+Hut+Restaurant/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64a8e29555555:0x6274f6d170cb87dd!8m2!3d11.0517416!4d76.0726672!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgERaW5kaWFuX3Jlc3RhdXJhbnSqAVMKCS9tLzAzX2hsMBABKgsiB2JpcnlhbmkoADIfEAEiG3meuuuOosh1EvGdKBibw3c2DGqB2-Zal4fi3DIWEAIiEmJpcnlhbmkgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11b_2v98pr?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",Place an order,Indian restaurant,Specialty_Food,3.7,1229.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:27:51
Grill Lounge Restaurant,"23VM+5HX, Up Hill, Malappuram, Kerala 676505",079024 51515,"https://www.google.com/maps/place/Grill+Lounge+Restaurant/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64b00517776a5:0xa2fd4dff6988678d!8m2!3d11.043049!4d76.08402!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBUwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbeZ66646iyHUS8Z0oGJvDdzYMaoHb5lqXh-LcMhYQAiISYmlyeWFuaSBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11ycytj27p?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",,Restaurant,Specialty_Food,3.9,92.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:27:56
Airlines Celestial Family Restaurant,"Jn, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",0483 273 8663,"https://www.google.com/maps/place/Airlines+Celestial+Family+Restaurant/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64a8fd5fb01d5:0x2a6177ee49445ea9!8m2!3d11.0507843!4d76.0714435!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgERZmFtaWx5X3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTNlR1ZJTlZGUkVBRaoBUwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbeZ66646iyHUS8Z0oGJvDdzYMaoHb5lqXh-LcMhYQAiISYmlyeWFuaSBtYWxhcHB1cmFt4AEA-gEECAAQPw!16s%2Fg%2F1tdz37rd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",airlinescelestial.com,Family restaurant,Specialty_Food,4.3,6410.0,₹₹,Opens 8am,Closed ⋅ Opens 8am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:28:01
Hotel Sulthan Palace Malappuram,"Hotel Sulthan Palace, Melmuri, Malappuram, Kerala 676517",098467 15223,"https://www.google.com/maps/place/Hotel+Sulthan+Palace+Malappuram/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64a6caf40373f:0x9ac51c7def8d96aa!8m2!3d11.0832429!4d76.068601!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBUwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbeZ66646iyHUS8Z0oGJvDdzYMaoHb5lqXh-LcMhYQAiISYmlyeWFuaSBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11clwj5c3c?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",,Restaurant,Specialty_Food,3.8,1625.0,₹₹,Opens 7am,⋅ Opens 7am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:28:06
Nadan Mess,"33CG+J68, M.M.E.T school road, Alathurpadi, Ferokh Palakked Highway, NH 966, Melmuri, Malappuram, Kerala 676505",070256 61627,"https://www.google.com/maps/place/Nadan+Mess/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64b3171fc3e9b:0xc2ef80570168b4fb!8m2!3d11.071543!4d76.0755771!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBUwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbeZ66646iyHUS8Z0oGJvDdzYMaoHb5lqXh-LcMhYQAiISYmlyeWFuaSBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11lm3w4p66?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",Claim this business,Restaurant,Specialty_Food,4.5,277.0,₹₹,Opens 6am,⋅ Opens 6am,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:28:11
Coqueiro,"National Highway 213, Middle Hill, Up Hill, Malappuram, Kerala 676505",087142 00600,"https://www.google.com/maps/place/Coqueiro/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64a9979e5aad7:0xcb7aba9b82a07e56!8m2!3d11.0450613!4d76.0771076!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSVkxYTlRlbVZCRUFFqgFTCgkvbS8wM19obDAQASoLIgdiaXJ5YW5pKAAyHxABIht5nrrrjqLIdRLxnSgYm8N3NgxqgdvmWpeH4twyFhACIhJiaXJ5YW5pIG1hbGFwcHVyYW3gAQD6AQUIhwIQJQ!16s%2Fg%2F1hm5xgbcx?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",,Restaurant,Specialty_Food,4.0,355.0,₹₹,Opens 10am,Closed ⋅ Opens 10am,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",no-contact delivery; dine-in; drive-through,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:28:16
Hi,"Big Bazaar, Down Hill, Malappuram, Kerala 676519",089060 20202,"https://www.google.com/maps/place/Hi/@11.0537429,76.0078902,13z/data=!4m11!1m3!2m2!1sbiryani+malappuram!6e5!3m6!1s0x3ba64bbd8531bc21:0xa3388c9d53a219e4!8m2!3d11.0520068!4d76.0627846!15sChJiaXJ5YW5pIG1hbGFwcHVyYW1aFCISYmlyeWFuaSBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBUwoJL20vMDNfaGwwEAEqCyIHYmlyeWFuaSgAMh8QASIbeZ66646iyHUS8Z0oGJvDdzYMaoHb5lqXh-LcMhYQAiISYmlyeWFuaSBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11h22pp62r?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",biryani+malappuram,"11.0537429, 76.0078902",,Restaurant,Specialty_Food,3.9,138.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",dine-in; no-contact delivery; takeaway,,1.0,Not Available,,,biryani malappuram,2025-08-10 04:28:20
