name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
SAFAWI wholesale Malappuram,"Stadium Building, Down Hill, Malappuram, Kerala 676519",089215 16886,"https://www.google.com/maps/place/SAFAWI+wholesale+Malappuram/@11.0231971,75.6708169,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba64b0150e4132f:0xfe7f7b2bbc376b99!8m2!3d11.0463028!4d76.0733881!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEOY2hvY29sYXRlX3Nob3CqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMiAQASIcaJiOh_t-6dqAdvDT2Zl87x9xzXvI6n6vCCambjIfEAIiG3dob2xlc2FsZSBzbmFja3MgbWFsYXBwdXJhbeABAA!16s%2Fg%2F11vwfhbtgd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.0231971, 75.6708169",,Chocolate shop,Wholesale_Frozen,4.9,19.0,₹1–200,Opens 11am,⋅ Opens 11am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,wholesale snacks malappuram,2025-08-10 03:53:49
Parammal Traders,"23WC+FW8, Market Rd, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/Parammal+Traders/@11.0231971,75.6708169,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba64a90c88372f3:0x3ffb9d1afa0a57e8!8m2!3d11.0461722!4d76.072332!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEUd2hvbGVzYWxlX2Zvb2Rfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjRhMWx4V0hWM1JSQUKqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMiAQASIcaJiOh_t-6dqAdvDT2Zl87x9xzXvI6n6vCCambjIfEAIiG3dob2xlc2FsZSBzbmFja3MgbWFsYXBwdXJhbeABAPoBBAgAEBQ!16s%2Fg%2F11hd797vpd?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.0231971, 75.6708169",Claim this business,Wholesale Food Store,Wholesale_Frozen,4.0,12.0,₹1–200,Opens 6am,⋅ Opens 6am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks malappuram,2025-08-10 03:53:54
NEW CH BROTHERS,"Palakkad - Kozhikode Hwy, Up Hill, Malappuram, Kerala 676505",0483 273 5247,"https://www.google.com/maps/place/NEW+CH+BROTHERS/@11.0231971,75.6708169,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba64a9f6aaeb4d5:0xaad6b4d09d63b3a3!8m2!3d11.0418707!4d76.0813386!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEQd2hvbGVzYWxlX2dyb2NlcpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSGFFNUhNMlpCRUFFqgFoCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIgEAEiHGiYjof7funagHbw09mZfO8fcc17yOp-rwgmpm4yHxACIht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW3gAQD6AQQIABAb!16s%2Fg%2F11f30r1jb2?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.0231971, 75.6708169",,Wholesale grocer,Wholesale_Frozen,4.8,18.0,₹1–200,Opens 6:30am,⋅ Opens 6:30am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,wholesale snacks malappuram,2025-08-10 03:53:58
V I WHOLESALE STORE MONGAM,"Market Rd, Mongam, Kerala 673642 Near SBM Trading (FATHIMA COMPLEX, Mongam, Kerala 673642",097449 99499,"https://www.google.com/maps/place/V+I+WHOLESALE+STORE+MONGAM/@11.0231971,75.6708169,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba6493795ee170d:0x3934ff51313a53b9!8m2!3d11.1333629!4d76.0375471!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEQd2hvbGVzYWxlX21hcmtldJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNeWRuUjVSMlozRUFFqgFoCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIgEAEiHGiYjof7funagHbw09mZfO8fcc17yOp-rwgmpm4yHxACIht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW3gAQD6AQQIABAd!16s%2Fg%2F11splgt59y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.0231971, 75.6708169",,Wholesale market,Wholesale_Frozen,4.6,19.0,₹1–200,Opens 6:30am,⋅ Opens 6:30am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,wholesale snacks malappuram,2025-08-10 03:54:03
Ajfan Dates and nuts (MALAPPURAM),"Kizhakkethala, Down Hill, Malappuram, Kerala 676519",094950 00792,"https://www.google.com/maps/place/Ajfan+Dates+and+nuts+(MALAPPURAM)/@11.0231971,75.6708169,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba64b055271a0db:0x4cdbb7d791587ed2!8m2!3d11.0505938!4d76.0713183!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEPZHJ5X2ZydWl0X3N0b3JlqgFoCgsvbS8wMTE4NmZmZhABKhQiEHdob2xlc2FsZSBzbmFja3MoADIgEAEiHGiYjof7funagHbw09mZfO8fcc17yOp-rwgmpm4yHxACIht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11clv6rf3y?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.0231971, 75.6708169",ajfan.store,Dry Fruit Store,Wholesale_Frozen,4.3,323.0,₹1–200,Opens 9am,⋅ Opens 9am,Yes,Yes,Yes,No,Yes,No,Unknown,Yes,"·

In-store shopping
·

Kerbside pickup
·

Delivery
",in-store shopping; delivery; kerbside pickup,,1.0,Not Available,,,wholesale snacks malappuram,2025-08-10 03:54:08
KKD MARKETING,"12/411, Road Wandoor Road, Charankavu, Wandoor, Malappuram, Kerala 676122",079944 05034,"https://www.google.com/maps/place/KKD+MARKETING/@11.0231971,75.6708169,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba6315452bb0497:0xbc88acea3d267401!8m2!3d11.1420107!4d76.1894935!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEGYmFrZXJ5mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJvZGkxMk5VSlJFQUWqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMiAQASIcaJiOh_t-6dqAdvDT2Zl87x9xzXvI6n6vCCambjIfEAIiG3dob2xlc2FsZSBzbmFja3MgbWFsYXBwdXJhbeABAPoBBAgAEDM!16s%2Fg%2F11qzjb23gn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.0231971, 75.6708169",,Bakery and Cake Shop,Wholesale_Frozen,4.7,7.0,₹1–200,Opens 3pm,⋅ Opens 3pm,No,No,No,No,No,No,Unknown,Yes,None Found,,,786.0,Not Available,,,wholesale snacks malappuram,2025-08-10 03:54:13
Malabar Natural Foods Pvt Ltd,"Plot No. 26, Kinfra Techno Industrial Park, Chelembra, P.O, Kakkanchery, Malappuram, Kerala 673636",075939 70960,"https://www.google.com/maps/place/Malabar+Natural+Foods+Pvt+Ltd/@11.2529572,75.2192841,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba659817885d221:0x758ebd0102911225!8m2!3d11.2529572!4d75.7960663!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEXZm9vZF9wcm9jZXNzaW5nX2NvbXBhbnmaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXRlVFl0Wm1WQkVBRaoBaAoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyIBABIhxomI6H-37p2oB28NPZmXzvH3HNe8jqfq8IJqZuMh8QAiIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFt4AEA-gEECAAQJw!16s%2Fg%2F11g9jmg3_k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.2529572, 75.2192841",malabartreats.com,Food Processing Company,Wholesale_Frozen,3.6,10.0,₹1–200,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,wholesale snacks malappuram,2025-08-10 03:54:17
BAKING HUT,"C/O HYPER BUDGET SUPER MARKET, Kerala 676519",079947 45077,"https://www.google.com/maps/place/BAKING+HUT/@11.2529572,75.2192841,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba64bbe9e8cedef:0xc253347d32a8b947!8m2!3d11.0551652!4d76.0820734!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEJY2FrZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5NTjBsVVUxZG5FQUWqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMiAQASIcaJiOh_t-6dqAdvDT2Zl87x9xzXvI6n6vCCambjIfEAIiG3dob2xlc2FsZSBzbmFja3MgbWFsYXBwdXJhbeABAPoBBAhHEDI!16s%2Fg%2F11j86skp7k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.2529572, 75.2192841",,Cake shop,Wholesale_Frozen,4.2,61.0,₹1–200,Opens 8am,⋅ Opens 8am,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,wholesale snacks malappuram,2025-08-10 03:54:22
Weleet Foods,"Pulikkal Arcade, 3/158, Building, Nellikkaparambu Rd, Kottakkal, Kerala 676503",080759 77600,"https://www.google.com/maps/place/Weleet+Foods/@11.2529572,75.2192841,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba7b4a56f0865d5:0xdf6f6f76779de598!8m2!3d11.0027917!4d76.0023872!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEWZm9vZF9wcm9kdWN0c19zdXBwbGllcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUFoxOHlaRzlSUlJBQqoBaAoLL20vMDExODZmZmYQASoUIhB3aG9sZXNhbGUgc25hY2tzKAAyIBABIhxomI6H-37p2oB28NPZmXzvH3HNe8jqfq8IJqZuMh8QAiIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFt4AEA-gEECAAQEQ!16s%2Fg%2F11lpwf06lh?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.2529572, 75.2192841",weleetfoods.com,Food products supplier,Wholesale_Frozen,4.4,9.0,₹1–200,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks malappuram,2025-08-10 03:54:27
Foodgate,"Vadapuram, Kerala 676542",081368 77790,"https://www.google.com/maps/place/Foodgate/@11.2617505,75.6281192,10z/data=!4m11!1m3!2m2!1swholesale+snacks+malappuram!6e6!3m6!1s0x3ba63bb92c9e5591:0xa34350fce74793ea!8m2!3d11.2617505!4d76.2049014!15sCht3aG9sZXNhbGUgc25hY2tzIG1hbGFwcHVyYW1aHSIbd2hvbGVzYWxlIHNuYWNrcyBtYWxhcHB1cmFtkgEXZm9vZF9wcm9jZXNzaW5nX2NvbXBhbnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlBibGt5ZUhOM1JSQUKqAWgKCy9tLzAxMTg2ZmZmEAEqFCIQd2hvbGVzYWxlIHNuYWNrcygAMiAQASIcaJiOh_t-6dqAdvDT2Zl87x9xzXvI6n6vCCambjIfEAIiG3dob2xlc2FsZSBzbmFja3MgbWFsYXBwdXJhbeABAPoBBAgAEBA!16s%2Fg%2F11d_8rq6ny?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",wholesale+snacks+malappuram,"11.2617505, 75.6281192",,Food Processing Company,Wholesale_Frozen,4.6,16.0,₹1–200,Opens 9am Mon,⋅ Opens 9am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,wholesale snacks malappuram,2025-08-10 03:54:32
